,country,commodity,year,food_supply_stage,loss_percentage,cause_of_loss,main_key
250,united states of america,grapefruit juice,1998,whole supply chain,45.9302,[],united states of america_grapefruit juice_whole supply chain
251,united states of america,cabbages,1999,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
252,united states of america,grapefruit juice,1999,whole supply chain,43.2157,[],united states of america_grapefruit juice_whole supply chain
253,united states of america,"other beans, green",1999,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
254,united states of america,lettuce and chicory,1999,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
255,united states of america,carrots and turnips,1999,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
256,united states of america,"hen eggs in shell, fresh",1999,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
257,united states of america,potatoes,1999,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
258,india,potatoes,1999,farm,19.8,[],india_potatoes_farm
259,united states of america,orange juice,1999,whole supply chain,40.3116,[],united states of america_orange juice_whole supply chain
260,united states of america,potatoes,2000,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
261,united states of america,orange juice,2000,whole supply chain,40.8538,[],united states of america_orange juice_whole supply chain
262,united states of america,lettuce and chicory,2000,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
263,united states of america,grapefruit juice,2000,whole supply chain,43.7016,[],united states of america_grapefruit juice_whole supply chain
264,ghana,maize (corn),2000,storage,29.0,[],ghana_maize (corn)_storage
265,united states of america,carrots and turnips,2000,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
266,united states of america,"hen eggs in shell, fresh",2000,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
267,united states of america,cabbages,2000,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
268,united states of america,"other beans, green",2000,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
269,ghana,maize (corn),2001,storage,6.4,[],ghana_maize (corn)_storage
270,benin,maize (corn),2001,storage,27.95,[],benin_maize (corn)_storage
271,united states of america,orange juice,2001,whole supply chain,41.5799,[],united states of america_orange juice_whole supply chain
272,united states of america,cabbages,2001,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
273,united states of america,"other beans, green",2001,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
274,united states of america,lettuce and chicory,2001,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
275,united states of america,potatoes,2001,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
276,united states of america,carrots and turnips,2001,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
277,united states of america,grapefruit juice,2001,whole supply chain,43.5971,[],united states of america_grapefruit juice_whole supply chain
278,india,maize (corn),2001,storage,21.86,[],india_maize (corn)_storage
279,ghana,yams,2001,storage,11.0,[],ghana_yams_storage
280,united states of america,"hen eggs in shell, fresh",2001,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
281,united states of america,grapefruit juice,2002,whole supply chain,41.5765,[],united states of america_grapefruit juice_whole supply chain
282,united states of america,carrots and turnips,2002,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
283,united states of america,cabbages,2002,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
284,united republic of tanzania,maize (corn),2002,storage,8.7,"insects, moulds, rodents",united republic of tanzania_maize (corn)_storage
285,united states of america,orange juice,2002,whole supply chain,40.6356,[],united states of america_orange juice_whole supply chain
286,india,wheat,2002,storage,4.95,[],india_wheat_storage
287,united states of america,lettuce and chicory,2002,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
288,united states of america,"other beans, green",2002,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
289,united states of america,"hen eggs in shell, fresh",2002,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
290,united states of america,potatoes,2002,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
291,malawi,maize (corn),2002,storage,3.2,insects,malawi_maize (corn)_storage
292,united states of america,potatoes,2003,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
293,ghana,yams,2003,storage,27.95,[],ghana_yams_storage
294,india,cabbages,2003,farm,9.4,[],india_cabbages_farm
295,india,cauliflowers and broccoli,2003,farm,12.9,[],india_cauliflowers and broccoli_farm
296,united states of america,"other beans, green",2003,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
297,united states of america,orange juice,2003,whole supply chain,41.3291,[],united states of america_orange juice_whole supply chain
298,india,potatoes,2003,farm,12.8,[],india_potatoes_farm
299,india,tomatoes,2003,farm,20.0,[],india_tomatoes_farm
300,united states of america,cabbages,2003,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
301,united states of america,grapefruit juice,2003,whole supply chain,42.5431,[],united states of america_grapefruit juice_whole supply chain
302,united states of america,lettuce and chicory,2003,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
303,united states of america,"hen eggs in shell, fresh",2003,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
304,united states of america,carrots and turnips,2003,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
305,united states of america,orange juice,2004,whole supply chain,41.9772,[],united states of america_orange juice_whole supply chain
306,united states of america,"other beans, green",2004,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
307,united states of america,grapefruit juice,2004,whole supply chain,43.9963,[],united states of america_grapefruit juice_whole supply chain
308,united states of america,lettuce and chicory,2004,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
309,benin,maize (corn),2004,storage,10.85,[],benin_maize (corn)_storage
310,united states of america,cabbages,2004,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
311,united states of america,"hen eggs in shell, fresh",2004,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
312,united states of america,potatoes,2004,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
313,united states of america,carrots and turnips,2004,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
314,united states of america,potatoes,2005,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
315,united states of america,lettuce and chicory,2005,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
316,indonesia,rice,2005,processing,0.18,[],indonesia_rice_processing
317,united states of america,grapefruit juice,2005,whole supply chain,44.3987,[],united states of america_grapefruit juice_whole supply chain
318,united states of america,"other beans, green",2005,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
319,united states of america,cabbages,2005,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
320,india,tomatoes,2005,farm,16.65,[],india_tomatoes_farm
321,azerbaijan,potatoes,2005,whole supply chain,25.0,[],azerbaijan_potatoes_whole supply chain
322,united states of america,carrots and turnips,2005,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
323,united states of america,orange juice,2005,whole supply chain,40.8924,[],united states of america_orange juice_whole supply chain
324,united states of america,"hen eggs in shell, fresh",2005,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
325,united states of america,"hen eggs in shell, fresh",2006,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
326,united states of america,potatoes,2006,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
327,united states of america,cabbages,2006,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
328,united states of america,carrots and turnips,2006,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
329,united states of america,grapefruit juice,2006,whole supply chain,43.7133,[],united states of america_grapefruit juice_whole supply chain
330,india,tomatoes,2006,farm,2.0525,[],india_tomatoes_farm
331,india,cauliflowers and broccoli,2006,farm,0.7033333333333333,[],india_cauliflowers and broccoli_farm
332,india,cauliflowers and broccoli,2006,harvest,0.84,[],india_cauliflowers and broccoli_harvest
333,india,tomatoes,2006,harvest,1.73,[],india_tomatoes_harvest
334,india,tomatoes,2006,storage,2.624,[],india_tomatoes_storage
335,india,cabbages,2006,farm,0.7366666666666667,[],india_cabbages_farm
336,united states of america,orange juice,2006,whole supply chain,40.2945,[],united states of america_orange juice_whole supply chain
337,india,soya beans,2006,harvest,3.14,[],india_soya beans_harvest
338,india,rice,2006,storage,1.07,[],india_rice_storage
339,india,"mangoes, guavas and mangosteens",2006,farm,1.795,[],"india_mangoes, guavas and mangosteens_farm"
340,india,wheat,2006,storage,1.042,[],india_wheat_storage
341,india,"mangoes, guavas and mangosteens",2006,harvest,4.235,[],"india_mangoes, guavas and mangosteens_harvest"
342,india,maize (corn),2006,storage,0.8325,[],india_maize (corn)_storage
343,india,potatoes,2006,farm,3.38,[],india_potatoes_farm
344,india,potatoes,2006,harvest,3.18,[],india_potatoes_harvest
345,indonesia,rice,2006,processing,0.18,[],indonesia_rice_processing
346,united states of america,"other beans, green",2006,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
347,united states of america,lettuce and chicory,2006,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
348,indonesia,rice,2007,processing,0.18,[],indonesia_rice_processing
349,united states of america,grapefruit juice,2007,whole supply chain,42.3925,[],united states of america_grapefruit juice_whole supply chain
350,pakistan,wheat,2007,harvest,10.3,"['sickle harvesting'
 'sukhbiret al. (2007) compared the performance of reaper with  conventional method of manual harvesting of wheat crop with sickle to see the feasibility. they  recorded 5.8% to 11.8% harvesting losses with reaper.']",pakistan_wheat_harvest
351,pakistan,wheat,2007,farm,5.8,[],pakistan_wheat_farm
352,united states of america,"other beans, green",2007,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
353,united states of america,lettuce and chicory,2007,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
354,united states of america,orange juice,2007,whole supply chain,39.0197,[],united states of america_orange juice_whole supply chain
355,united states of america,potatoes,2007,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
356,united states of america,cabbages,2007,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
357,united states of america,"hen eggs in shell, fresh",2007,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
358,united states of america,carrots and turnips,2007,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
359,united states of america,grapefruit juice,2008,whole supply chain,38.2684,[],united states of america_grapefruit juice_whole supply chain
360,united states of america,lettuce and chicory,2008,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
361,united states of america,carrots and turnips,2008,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
362,united states of america,orange juice,2008,whole supply chain,39.0115,[],united states of america_orange juice_whole supply chain
363,united states of america,cabbages,2008,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
364,united states of america,potatoes,2008,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
365,united states of america,"hen eggs in shell, fresh",2008,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
366,ghana,tomatoes,2008,farm,1.745,[],ghana_tomatoes_farm
367,ghana,maize (corn),2008,storage,1.6179999999999999,[],ghana_maize (corn)_storage
368,india,cabbages,2008,farm,17.5,[],india_cabbages_farm
369,ghana,yams,2008,storage,9.15,[],ghana_yams_storage
370,united republic of tanzania,maize (corn),2008,farm,4.4,[],united republic of tanzania_maize (corn)_farm
371,india,cauliflowers and broccoli,2008,farm,17.5,[],india_cauliflowers and broccoli_farm
372,united states of america,"other beans, green",2008,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
373,india,tomatoes,2009,farm,1.7666666666666666,[],india_tomatoes_farm
374,india,tomatoes,2009,harvest,6.48875,[],india_tomatoes_harvest
375,india,tomatoes,2009,storage,6.531666666666666,[],india_tomatoes_storage
376,united states of america,carrots and turnips,2009,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
377,united states of america,orange juice,2009,whole supply chain,37.5154,[],united states of america_orange juice_whole supply chain
378,india,"mangoes, guavas and mangosteens",2009,harvest,3.0,[],"india_mangoes, guavas and mangosteens_harvest"
379,india,"mangoes, guavas and mangosteens",2009,farm,4.5,[],"india_mangoes, guavas and mangosteens_farm"
380,united states of america,potatoes,2009,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
381,india,potatoes,2009,farm,0.7549999999999999,[],india_potatoes_farm
382,united states of america,"hen eggs in shell, fresh",2009,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
383,united states of america,cabbages,2009,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
384,ghana,tomatoes,2009,farm,22.175,"['decay'
 'lack of pre-sorting to remove decayed produce before packing promoted spread of fungal and bacterial diseases and insect pests during handling'
 'mechanical damage' 'physical losses']",ghana_tomatoes_farm
385,india,cabbages,2009,farm,1.46,[],india_cabbages_farm
386,india,cauliflowers and broccoli,2009,harvest,1.38,[],india_cauliflowers and broccoli_harvest
387,india,potatoes,2009,harvest,3.56,[],india_potatoes_harvest
388,india,cauliflowers and broccoli,2009,farm,2.966666666666667,[],india_cauliflowers and broccoli_farm
389,united states of america,"other beans, green",2009,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
390,united states of america,grapefruit juice,2009,whole supply chain,39.869,[],united states of america_grapefruit juice_whole supply chain
391,united states of america,lettuce and chicory,2009,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
392,united states of america,orange juice,2010,whole supply chain,39.0435,[],united states of america_orange juice_whole supply chain
393,ghana,tomatoes,2010,farm,37.75,"the physical loss was measured by percentage of product sorted and not sold. economic losses due to poor quality (a function of the % cumulative rate of defects, decay and damage that occurred during handling) could not be determined because price data reported for crops in ghana were unreliable; the air temperatures during the handling at the farm, wholesale and retail markets were 29-31c, and 76 % rh at the farm and wholesale markets, and 72% rh at the retail market.",ghana_tomatoes_farm
394,united states of america,grapefruit juice,2010,whole supply chain,40.9479,[],united states of america_grapefruit juice_whole supply chain
395,united states of america,cabbages,2010,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
396,ghana,maize (corn),2010,storage,7.025,insects; large grain borer,ghana_maize (corn)_storage
397,united republic of tanzania,maize (corn),2010,farm,2.9,[],united republic of tanzania_maize (corn)_farm
398,united states of america,carrots and turnips,2010,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
399,india,tomatoes,2010,farm,9.913333333333334,"['decay, mechanic damage, sorting'
 'rough handling, the effects of high ambient temperatures and poor quality  package']",india_tomatoes_farm
400,united states of america,"hen eggs in shell, fresh",2010,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
401,india,potatoes,2010,harvest,23.5,[],india_potatoes_harvest
402,united states of america,"other beans, green",2010,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
403,india,"mangoes, guavas and mangosteens",2010,farm,5.75,"decay, mechanic damage, sorting","india_mangoes, guavas and mangosteens_farm"
404,india,cauliflowers and broccoli,2010,harvest,35.5,[],india_cauliflowers and broccoli_harvest
405,india,"mangoes, guavas and mangosteens",2010,harvest,26.125,[],"india_mangoes, guavas and mangosteens_harvest"
406,india,tomatoes,2010,storage,9.435,[],india_tomatoes_storage
407,india,tomatoes,2010,harvest,4.195,[],india_tomatoes_harvest
408,united states of america,lettuce and chicory,2010,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
409,united states of america,potatoes,2010,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
410,ethiopia,maize (corn),2010,storage,3.3,"the main causes of storage loss in order of importance are moisture , rodents and spillage ( dessalegn et a ! 1998 ) . the loss due to moisture', ""in bulk .    early onset of mould damage may be unusual , in view of the rain at harvest and the subsequent difficulties that many farmers faced in drying their grain this season . mould damage is regarded by local farmers as more of an inconvenience than', 'grain this season . mould damage is regarded by local farmers as more of an inconvenience than a loss , since all the grain will be used for food or for brewing after washing to remove visible',",ethiopia_maize (corn)_storage
411,united states of america,carrots and turnips,2011,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
412,pakistan,wheat,2011,farm,2.7083333333333335,['manual plus threser' 'reaper plus thresher'],pakistan_wheat_farm
413,united states of america,potatoes,2011,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
414,united states of america,grapefruit juice,2011,whole supply chain,39.7023,[],united states of america_grapefruit juice_whole supply chain
415,ghana,tomatoes,2011,farm,42.5,"['lack of diversified uses of tomatoes is one main source of postharvest losses.'
 'literacy and technology exposure: 60 -90 % of producers did not pre-cool produce after harvest.  used vehicles or head loads to convey produce to market. producers had no storage facilities ; marketers preferred the use of polythene materials for packaging.']",ghana_tomatoes_farm
416,china,rice,2011,storage,7.5,[],china_rice_storage
417,united states of america,cabbages,2011,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
418,united states of america,"hen eggs in shell, fresh",2011,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
419,united states of america,orange juice,2011,whole supply chain,41.4297,[],united states of america_orange juice_whole supply chain
420,ghana,maize (corn),2011,storage,4.0,"resistance status of some maize lines and varieties to the maize weevil, sitophilus zeamais (motschulsky) (coleoptera: curculionidae).",ghana_maize (corn)_storage
421,united states of america,lettuce and chicory,2011,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
422,pakistan,wheat,2011,harvest,2.92,combine,pakistan_wheat_harvest
423,united states of america,"other beans, green",2011,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
424,pakistan,wheat,2011,storage,20.0,[],pakistan_wheat_storage
425,india,soya beans,2012,harvest,1.0575,[],india_soya beans_harvest
426,kenya,maize (corn),2012,storage,13.0625,[],kenya_maize (corn)_storage
427,united states of america,potatoes,2012,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
428,ghana,yams,2012,storage,35.55,[],ghana_yams_storage
429,united states of america,lettuce and chicory,2012,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
430,united states of america,cabbages,2012,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
431,united states of america,grapefruit juice,2012,whole supply chain,39.1931,[],united states of america_grapefruit juice_whole supply chain
432,united states of america,orange juice,2012,whole supply chain,40.0592,[],united states of america_orange juice_whole supply chain
433,united states of america,"hen eggs in shell, fresh",2012,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
434,united states of america,"other beans, green",2012,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
435,pakistan,wheat,2012,farm,6.88,[],pakistan_wheat_farm
436,united states of america,carrots and turnips,2012,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
437,pakistan,wheat,2012,harvest,23.865000000000002,"['begum et al. (2012) found 0.51 kg/quintal grain losses of wheat during the threshing  activity. they concluded that threshing losses were mainly in the form of broken grains. they  observed 2.35 kg/quintal post-harvest losses at farm level. the harvesting losses have added up to  about 40.85 per cent.'
 'shamabadi  (2012) while evaluating the performance of eight combines observed that time of harvesting, seed  moisture content, relative humidity, field topography and varietal characteristics are the major factors  affecting harvest losses. he concluded that mean total loss by different combines was 6.88% at wheat  harvesting stage.']",pakistan_wheat_harvest
438,united states of america,lettuce and chicory,2013,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
439,united states of america,"other beans, green",2013,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
440,india,rice,2013,storage,4.8500000000000005,[],india_rice_storage
441,china,rice,2013,storage,6.5,"decentralized agricultural system in china  cereal storage losses resulting from insect infestations , mold damage , rat infestations , respectivel",china_rice_storage
442,united states of america,"hen eggs in shell, fresh",2013,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
443,kenya,maize (corn),2013,storage,3.5,[],kenya_maize (corn)_storage
444,united states of america,potatoes,2013,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
445,malawi,maize (corn),2013,storage,3.2,[],malawi_maize (corn)_storage
446,united republic of tanzania,maize (corn),2013,farm,23.5,[],united republic of tanzania_maize (corn)_farm
447,united states of america,carrots and turnips,2013,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
448,india,soya beans,2013,harvest,7.45,[],india_soya beans_harvest
449,indonesia,rice,2013,processing,10.0,['defects/impurities small scale' 'machine damagesmall scale'],indonesia_rice_processing
450,united republic of tanzania,maize (corn),2013,storage,20.0,". quantitative post-harvest losses of economic importance occur  in the field (15%); during processing (13e20%), and during storage (15e25%). the main storage pests  responsible for the losses are larger grain borers (prostephanus truncatus), grain weevils (sitophilus  granarius) and, the lesser grain borer (rhyzopertha dominica). most of the farmers considered changes in  weather (40%), field damage (33%), and storage pests (16%) as the three most important factors causing  poor crop yields and aggravating food losses. however, survey results suggest that the farmers’ poor  knowledge and skills on post-harvest management are largely responsible for the food losses. 77% of the  surveyed farmers reported inadequate household foods and 41% received food aid during the previous  year. increasing farmers’ technical know-how on adaptation of the farming systems to climate variability,  and training on post-harvest management could reduce food losses, and improve poverty and household  food security",united republic of tanzania_maize (corn)_storage
451,united states of america,grapefruit juice,2013,whole supply chain,41.5846,[],united states of america_grapefruit juice_whole supply chain
452,pakistan,wheat,2013,harvest,12.71,mirasi et al. (2013) measured grain losses of different wheat varieties with different  models of combine during harvest stage. they observed that average pre harvest losses in all fields of  study were 31.4 kg ha-1  accounting for 12.71 percent of total losses.,pakistan_wheat_harvest
453,united states of america,orange juice,2013,whole supply chain,39.518,[],united states of america_orange juice_whole supply chain
454,pakistan,wheat,2013,farm,3.0375,[],pakistan_wheat_farm
455,united states of america,cabbages,2013,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
456,india,tomatoes,2014,farm,1.5625,[],india_tomatoes_farm
457,india,cauliflowers and broccoli,2014,harvest,2.21,[],india_cauliflowers and broccoli_harvest
458,india,cauliflowers and broccoli,2014,farm,1.4733333333333334,[],india_cauliflowers and broccoli_farm
459,united states of america,lettuce and chicory,2014,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
460,india,"mangoes, guavas and mangosteens",2014,farm,1.5233333333333332,['birds and insects attack' 'poor handling and storage'],"india_mangoes, guavas and mangosteens_farm"
461,india,wheat,2014,storage,0.17,[],india_wheat_storage
462,india,tomatoes,2014,storage,0.7575,[],india_tomatoes_storage
463,india,tomatoes,2014,harvest,3.16,[],india_tomatoes_harvest
464,india,"mangoes, guavas and mangosteens",2014,harvest,3.71,overripe,"india_mangoes, guavas and mangosteens_harvest"
465,united states of america,"other beans, green",2014,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
466,united states of america,carrots and turnips,2014,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
467,united states of america,orange juice,2014,whole supply chain,41.2515,[],united states of america_orange juice_whole supply chain
468,india,potatoes,2014,farm,1.08,[],india_potatoes_farm
469,india,potatoes,2014,harvest,2.58,[],india_potatoes_harvest
470,ghana,yams,2014,storage,9.5,['other causes such as rodents and theft' 'rotting'],ghana_yams_storage
471,united states of america,cabbages,2014,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
472,india,rice,2014,storage,0.16999999999999998,[],india_rice_storage
473,india,soya beans,2014,harvest,1.17,temperature,india_soya beans_harvest
474,united states of america,potatoes,2014,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
475,india,cabbages,2014,farm,1.3533333333333333,[],india_cabbages_farm
476,united states of america,"hen eggs in shell, fresh",2014,whole supply chain,4.25,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
477,india,maize (corn),2014,storage,0.15,[],india_maize (corn)_storage
478,united states of america,grapefruit juice,2014,whole supply chain,44.406,[],united states of america_grapefruit juice_whole supply chain
479,azerbaijan,wheat,2015,whole supply chain,4.92,[],azerbaijan_wheat_whole supply chain
480,azerbaijan,"meat of goat, fresh or chilled",2015,whole supply chain,0.47,[],"azerbaijan_meat of goat, fresh or chilled_whole supply chain"
481,united states of america,carrots and turnips,2015,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
482,china,rice,2015,storage,1.7841304347826088,[],china_rice_storage
483,ethiopia,maize (corn),2015,storage,6.9,insect pest,ethiopia_maize (corn)_storage
484,united states of america,orange juice,2015,whole supply chain,43.7021,[],united states of america_orange juice_whole supply chain
485,ghana,tomatoes,2015,farm,25.0,[],ghana_tomatoes_farm
486,united states of america,cabbages,2015,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
487,azerbaijan,potatoes,2015,whole supply chain,3.67,[],azerbaijan_potatoes_whole supply chain
488,united states of america,"hen eggs in shell, fresh",2015,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
489,united states of america,grapefruit juice,2015,whole supply chain,46.7764,[],united states of america_grapefruit juice_whole supply chain
490,azerbaijan,tomatoes,2015,whole supply chain,5.7,[],azerbaijan_tomatoes_whole supply chain
491,azerbaijan,"onions and shallots, green",2015,whole supply chain,4.75,[],"azerbaijan_onions and shallots, green_whole supply chain"
492,united states of america,lettuce and chicory,2015,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
493,azerbaijan,oats,2015,whole supply chain,6.55,[],azerbaijan_oats_whole supply chain
494,united states of america,"other beans, green",2015,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
495,azerbaijan,"eggs, dried",2015,whole supply chain,0.4,[],"azerbaijan_eggs, dried_whole supply chain"
496,united states of america,potatoes,2015,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
497,azerbaijan,grapes,2015,whole supply chain,2.07,[],azerbaijan_grapes_whole supply chain
498,malawi,maize (corn),2015,storage,20.3,storage of untreated grain,malawi_maize (corn)_storage
499,pakistan,wheat,2015,harvest,2.0324999999999998,machinery and handling tests,pakistan_wheat_harvest
500,india,wheat,2016,storage,0.86,[],india_wheat_storage
501,kenya,maize (corn),2016,storage,6.907272727272727,['insects' 'rodents'],kenya_maize (corn)_storage
502,india,soya beans,2016,harvest,6.54,[],india_soya beans_harvest
503,india,tomatoes,2016,farm,9.41,[],india_tomatoes_farm
504,india,tomatoes,2016,storage,3.03,[],india_tomatoes_storage
505,united states of america,grapefruit juice,2016,whole supply chain,46.601,[],united states of america_grapefruit juice_whole supply chain
506,united republic of tanzania,maize (corn),2016,storage,4.8,[],united republic of tanzania_maize (corn)_storage
507,united republic of tanzania,maize (corn),2016,farm,1.55,[],united republic of tanzania_maize (corn)_farm
508,azerbaijan,potatoes,2016,whole supply chain,3.59,[],azerbaijan_potatoes_whole supply chain
509,india,tomatoes,2016,harvest,3.16,[],india_tomatoes_harvest
510,azerbaijan,tomatoes,2016,whole supply chain,5.69,[],azerbaijan_tomatoes_whole supply chain
511,india,cauliflowers and broccoli,2016,farm,7.55,[],india_cauliflowers and broccoli_farm
512,india,maize (corn),2016,storage,0.75,[],india_maize (corn)_storage
513,india,cabbages,2016,farm,6.81,[],india_cabbages_farm
514,united states of america,cabbages,2016,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
515,india,"mangoes, guavas and mangosteens",2016,farm,9.41,[],"india_mangoes, guavas and mangosteens_farm"
516,india,"mangoes, guavas and mangosteens",2016,harvest,3.71,[],"india_mangoes, guavas and mangosteens_harvest"
517,india,potatoes,2016,farm,4.87,[],india_potatoes_farm
518,benin,maize (corn),2016,storage,6.2,insects and moisture,benin_maize (corn)_storage
519,united states of america,carrots and turnips,2016,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
520,azerbaijan,wheat,2016,whole supply chain,6.09,[],azerbaijan_wheat_whole supply chain
521,india,potatoes,2016,harvest,2.58,[],india_potatoes_harvest
522,india,cauliflowers and broccoli,2016,harvest,2.21,[],india_cauliflowers and broccoli_harvest
523,india,rice,2016,storage,0.86,[],india_rice_storage
524,azerbaijan,"meat of goat, fresh or chilled",2016,whole supply chain,0.46,[],"azerbaijan_meat of goat, fresh or chilled_whole supply chain"
